##FastQC	0.11.2
>>Basic Statistics	pass
#Measure	Value
Filename	P3722_201_S1_L001_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	247076038
Sequences flagged as poor quality	0
Sequence length	30-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.897761141855447	32.0	32.0	32.0	32.0	32.0
2	31.224456905853412	32.0	32.0	32.0	32.0	32.0
3	34.763563458144816	37.0	32.0	37.0	32.0	37.0
4	35.575491893714116	37.0	37.0	37.0	32.0	37.0
5	35.863252578948995	37.0	37.0	37.0	32.0	37.0
6	39.10629324564449	41.0	41.0	41.0	37.0	41.0
7	39.27457135280759	41.0	41.0	41.0	37.0	41.0
8	39.35821388312856	41.0	41.0	41.0	37.0	41.0
9	39.328454595018236	41.0	41.0	41.0	37.0	41.0
10-14	39.35296677454412	41.0	41.0	41.0	37.0	41.0
15-19	39.324067857199495	41.0	41.0	41.0	37.0	41.0
20-24	39.24539084279796	41.0	41.0	41.0	37.0	41.0
25-29	39.23372922468507	41.0	41.0	41.0	37.0	41.0
30-34	39.171612773177685	41.0	41.0	41.0	37.0	41.0
35-39	39.19086311559366	41.0	41.0	41.0	37.0	41.0
40-44	39.00867158190794	41.0	41.0	41.0	36.0	41.0
45-49	38.92659298460004	41.0	41.0	41.0	32.0	41.0
50-54	38.940783378968376	41.0	41.0	41.0	32.0	41.0
55-59	38.88265657251193	41.0	41.0	41.0	32.0	41.0
60-64	38.878466125718454	41.0	41.0	41.0	32.0	41.0
65-69	38.83845379594574	41.0	41.0	41.0	32.0	41.0
70-74	38.79786288103065	41.0	41.0	41.0	32.0	41.0
75-79	38.52247461530472	41.0	39.4	41.0	32.0	41.0
80-84	38.729162036873994	41.0	41.0	41.0	32.0	41.0
85-89	38.642582218016585	41.0	41.0	41.0	32.0	41.0
90-94	38.55676566843384	41.0	41.0	41.0	32.0	41.0
95-99	38.55345451349963	41.0	41.0	41.0	32.0	41.0
100-104	38.35421485965808	41.0	37.0	41.0	32.0	41.0
105-109	38.19294758168903	41.0	37.0	41.0	32.0	41.0
110-114	38.02438679147559	41.0	37.0	41.0	32.0	41.0
115-119	37.79571408945761	41.0	37.0	41.0	30.0	41.0
120-124	37.65108498960514	41.0	37.0	41.0	32.0	41.0
125-129	37.390902356948345	41.0	37.0	41.0	29.0	41.0
130-134	37.046609147544594	41.0	37.0	41.0	27.0	41.0
135-139	36.77256277432831	41.0	37.0	41.0	27.0	41.0
140-144	36.565769431767386	41.0	36.0	41.0	27.0	41.0
145-149	36.09437408181155	41.0	32.0	41.0	27.0	41.0
150-151	35.16692485935217	39.0	29.5	41.0	24.5	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1221	1	-0.5818902116236515
1221	2	-0.5681537256336568
1221	3	-0.3591191513197103
1221	4	-0.5289415426379591
1221	5	0.1341862601966639
1221	6	-0.2990539552363245
1221	7	-0.4046357614647107
1221	8	-0.30016860633153186
1221	9	-0.11199843689557554
1221	10-14	-0.46195703413072664
1221	15-19	-0.4014265147629317
1221	20-24	-0.49567203224717815
1221	25-29	-0.4356057000061426
1221	30-34	-0.3002924445768542
1221	35-39	-0.3013743782309888
1221	40-44	-0.07738342945446419
1221	45-49	-0.04536010229996634
1221	50-54	-0.6295780791364862
1221	55-59	-0.4109274802815932
1221	60-64	-0.47439534229604163
1221	65-69	-0.3444044416004104
1221	70-74	-0.14212036339674938
1221	75-79	-0.2110515851987742
1221	80-84	-0.8127194076823585
1221	85-89	-0.32716061472602576
1221	90-94	-0.48336595822594575
1221	95-99	-0.5312713718284812
1221	100-104	-0.3970329084060893
1221	105-109	-0.8697914224878005
1221	110-114	-0.7261454177996214
1221	115-119	-0.24722722551288
1221	120-124	-0.39859649208684544
1221	125-129	-0.6600432364052082
1221	130-134	-0.4694670739009652
1221	135-139	0.0628370340323201
1221	140-144	-0.8886432808813041
1221	145-149	-0.2733430665780361
1221	150-151	-0.25654809436926485
2201	1	0.011115403870114449
2201	2	0.1718509668111352
2201	3	0.40457801425398543
2201	4	0.20812502495170548
2201	5	0.2647433323345325
2201	6	0.366117677535847
2201	7	0.13808309355221127
2201	8	0.12277310452613222
2201	9	0.17271404781858024
2201	10-14	0.23931846126159684
2201	15-19	0.16599556003934168
2201	20-24	0.2535840616470182
2201	25-29	0.2502408585027993
2201	30-34	0.29316628522028054
2201	35-39	0.23392318213143426
2201	40-44	0.3688161136631791
2201	45-49	0.38700766864086233
2201	50-54	0.4029241261599452
2201	55-59	0.3477455940822338
2201	60-64	0.3244540112400003
2201	65-69	0.35546120338275244
2201	70-74	0.22726124972057704
2201	75-79	0.37990835012955415
2201	80-84	0.2774412405356159
2201	85-89	0.4886710655750548
2201	90-94	0.5583753626967223
2201	95-99	0.3750490404538027
2201	100-104	0.5584709328807591
2201	105-109	0.4579395702857809
2201	110-114	0.5241088539786531
2201	115-119	0.6855460180130777
2201	120-124	0.6489821780588088
2201	125-129	0.5951132998753366
2201	130-134	0.6356424161758696
2201	135-139	0.7516234863256628
2201	140-144	0.8082732301425111
2201	145-149	1.1548921468112496
2201	150-151	0.7059134559760452
1101	1	-0.05252523717213364
1101	2	0.14057684530103742
1101	3	-0.011274841989951767
1101	4	-5.6764464794412106E-5
1101	5	0.1645568843319012
1101	6	0.1306954993136742
1101	7	0.14488667597620974
1101	8	0.14481071636214438
1101	9	0.2082527166033188
1101	10-14	0.14237867264271387
1101	15-19	0.1417246110032906
1101	20-24	0.17534374382887563
1101	25-29	0.15143084232359882
1101	30-34	-0.03190064719989749
