##FastQC	0.11.2
>>Basic Statistics	pass
#Measure	Value
Filename	P3719_201_S1_L001_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	463214407
Sequences flagged as poor quality	0
Sequence length	30-151
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.507727370837152	32.0	32.0	32.0	32.0	32.0
2	31.568843395235763	32.0	32.0	32.0	32.0	32.0
3	36.114968287245006	37.0	37.0	37.0	32.0	37.0
4	36.419640477633074	37.0	37.0	37.0	37.0	37.0
5	36.62600512552711	37.0	37.0	37.0	37.0	37.0
6	41.12541850841008	42.0	42.0	42.0	42.0	42.0
7	41.20209817869503	42.0	42.0	42.0	42.0	42.0
8	41.25621176976907	42.0	42.0	42.0	42.0	42.0
9	41.262138945086825	42.0	42.0	42.0	42.0	42.0
10-14	41.25538724662336	42.0	42.0	42.0	42.0	42.0
15-19	41.20625686109111	42.0	42.0	42.0	42.0	42.0
20-24	41.150052350595395	42.0	42.0	42.0	42.0	42.0
25-29	41.105118828482375	42.0	42.0	42.0	42.0	42.0
30-34	41.05048071490015	42.0	42.0	42.0	42.0	42.0
35-39	41.032493796566406	42.0	42.0	42.0	42.0	42.0
40-44	40.98560534163577	42.0	42.0	42.0	41.0	42.0
45-49	40.90284581401971	42.0	42.0	42.0	37.0	42.0
50-54	40.85467599181474	42.0	42.0	42.0	37.0	42.0
55-59	40.80473108414968	42.0	42.0	42.0	37.0	42.0
60-64	40.74736985916988	42.0	42.0	42.0	37.0	42.0
65-69	40.68304265116311	42.0	42.0	42.0	37.0	42.0
70-74	40.591125591293704	42.0	42.0	42.0	37.0	42.0
75-79	40.31184548729175	42.0	41.0	42.0	37.0	42.0
80-84	40.69994093057983	42.0	42.0	42.0	37.0	42.0
85-89	40.59865797923561	42.0	42.0	42.0	37.0	42.0
90-94	40.476861190530066	42.0	42.0	42.0	37.0	42.0
95-99	40.27991346219416	42.0	42.0	42.0	37.0	42.0
100-104	40.01557755380592	42.0	42.0	42.0	37.0	42.0
105-109	39.76912453100929	42.0	42.0	42.0	34.0	42.0
110-114	39.41849910086296	42.0	39.0	42.0	32.0	42.0
115-119	39.01929098795485	42.0	37.0	42.0	32.0	42.0
120-124	38.55045869833769	42.0	37.0	42.0	31.0	42.0
125-129	38.1256830900176	42.0	37.0	42.0	27.0	42.0
130-134	37.5126267436314	42.0	37.0	42.0	27.0	42.0
135-139	37.005422827966186	42.0	35.0	42.0	27.0	42.0
140-144	36.402100981330776	37.0	32.0	42.0	27.0	42.0
145-149	35.89528331846798	37.0	32.0	42.0	27.0	42.0
150-151	34.77493357826076	34.5	29.5	42.0	24.5	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1221	1	-0.8265294653788118
1221	2	0.022951881394671858
1221	3	-0.2760436677247995
1221	4	-0.16923064410886468
1221	5	-0.17498907633923722
1221	6	-0.4817799914236218
1221	7	-0.6562101490596888
1221	8	-0.8644029701795404
1221	9	-0.43705596099959365
1221	10-14	-0.1897810379979461
1221	15-19	-0.26593950476699746
1221	20-24	-0.26117866166850234
1221	25-29	-0.6576174711983
1221	30-34	-0.4832069001749133
1221	35-39	-0.4727197972132373
1221	40-44	-0.4436835956297216
1221	45-49	-0.48655926601819743
1221	50-54	-0.19767514604039604
1221	55-59	-0.447827498550879
1221	60-64	-0.4776059940557289
1221	65-69	-0.5288308123408711
1221	70-74	-0.48041947317882006
1221	75-79	-0.5386888397440757
1221	80-84	-0.518157860280553
1221	85-89	-0.4451320183686889
1221	90-94	-0.6377033814763493
1221	95-99	-0.8040818428275003
1221	100-104	-0.793425658449955
1221	105-109	-0.9431510053457828
1221	110-114	-1.251079450052579
1221	115-119	-1.3025901360426246
1221	120-124	-1.436207449586135
1221	125-129	-1.1479968368127302
1221	130-134	-1.2529283242352633
1221	135-139	-1.2652201603189397
1221	140-144	-0.9890779747840099
1221	145-149	-0.9129376645951837
1221	150-151	-0.7788290348961624
2201	1	0.04379866910544905
2201	2	-0.030848005474105378
2201	3	-0.059426015179802505
2201	4	-0.11425563577500242
2201	5	-0.11494850190650396
2201	6	-0.21780686327311827
2201	7	-0.11883953960608551
2201	8	-0.3062728228015885
2201	9	-0.23477933721987654
2201	10-14	-0.1325182857131395
2201	15-19	-0.1404879365889613
2201	20-24	-0.1095686566675198
2201	25-29	-0.13093230598438055
2201	30-34	-0.16325287717182135
2201	35-39	-0.17736238587645659
2201	40-44	-0.16565130778003834
2201	45-49	-0.17525520598281474
2201	50-54	-0.12943881960764259
2201	55-59	-0.2178584974900275
2201	60-64	-0.17270895132972441
2201	65-69	-0.16829392846269542
2201	70-74	-0.18746027980592572
2201	75-79	-0.2145475654580764
2201	80-84	-0.1769619078606297
2201	85-89	-0.19421115146427326
2201	90-94	-0.3244271784123782
2201	95-99	-0.31316014821808835
2201	100-104	-0.2027402265419056
2201	105-109	-0.19261465471918626
2201	110-114	-0.09088651369783207
2201	115-119	-0.24878211267875372
2201	120-124	-0.18425552156440972
2201	125-129	-0.2366000146594942
2201	130-134	-0.4947483760950817
2201	135-139	-0.5123745314817967
2201	140-144	-0.32047773028816096
2201	145-149	-0.4542856633995669
2201	150-151	-0.1447183100518501
1101	1	-0.2244887267528739
1101	2	-0.07717086770272985
1101	3	-0.1873772668677347
1101	4	-0.11835051541469
1101	5	-0.028682147629076837
1101	6	-0.13415006690920706
1101	7	-0.11526243805821679
1101	8	-0.1251527946013269
1101	9	-0.10916207696702429
1101	10-14	-0.11909208474173028
1101	15-19	-0.14274863427166196
